4369	Devo andare a dormire.	182184	Preciso ir dormir.
4371	Che cos'è?	341216	O que é isto?
4371	Che cos'è?	1002391	O que é isso?
4373	La parola d'accesso è "Muiriel".	331979	A senha é "Muiriel".
4377	Non ti preoccupare.	380391	Não se preocupe.
4378	Mi manchi.	347660	Sinto sua falta.
4382	Perché lo chiedi?	380522	Por que pergunta?
4384	L'innocenza è una cosa bella.	405005	A inocência é uma coisa bela.
4385	Non è importante.	380504	Não é importante.
4385	Non è importante.	397635	Isso não é importante.
4386	Mi piacerebbe tanto andare in Giappone.	1658199	Eu gostaria tanto de ir para o Japão.
4389	Ti amo.	369537	Te amo.
4389	Ti amo.	375145	Eu te amo.
4389	Ti amo.	913261	Eu amo você.
4389	Ti amo.	1382778	Amo você.
4395	"Chi è?" "È tua madre."	340621	"Quem é essa?" "É a tua mãe".
4397	Come si scrive "pretty"?	380521	Como se escreve "pretty"?
4398	Sei un angelo!	404878	Você é um anjo!
4404	Dubitare di sé stessi è il primo segno di intelligenza.	579087	Duvidar de si mesmo é o primeiro sinal de inteligência.
4408	Non riusciamo a dormire dal rumore.	340439	Nós não conseguimos dormir por causa do barulho.
4409	Hai un preservativo?	341135	Você tem uma camisinha?
4424	Grazie, è tutto.	340433	Obrigado, isso é tudo.
4425	Vuoi ballare con me?	380520	Gostaria de dançar comigo?
4428	Come ti chiami?	397639	Como você se chama?
4429	L'Italia è un paese molto bello.	405020	A Itália é um país muito bonito.
4430	Non è colpa mia!	340352	Não é minha culpa!
4440	La vita è quello che ti succede mentre sei impegnato a fare altri progetti.	390887	Vida é o que acontece enquanto você está ocupado fazendo outros planos.
4444	Quanti anni hai?	404974	Quantos anos você tem?
4444	Quanti anni hai?	1471390	Quantos anos tens?
4444	Quanti anni hai?	1644223	Tu tens quantos anos?
4447	Il conto, per favore.	340431	A conta, por favor.
4456	Le mie scarpe sono troppo piccole, ne ho bisogno di nuove.	2911343	Meus sapatos estão pequenos demais. Preciso de novos.
4460	Lo vedo raramente.	340587	Eu o vejo raramente.
4476	Non mi piace imparare i verbi irregolari.	380518	Eu não gosto de estudar verbos irregulares.
4476	Non mi piace imparare i verbi irregolari.	1795459	Não gosto de aprender verbos irregulares.
